学号	课程班级
20604091216	22级912英语班
20604091223	22级912英语班
20604091224	22级912英语班
20604091233	22级912英语班
20604091237	22级912英语班
20604091239	22级912英语班
20604091242	22级912英语班
20604091245	22级912英语班
20604091301	22级913英语班
20604091302	22级913英语班
20604091303	22级913英语班
20604091304	22级913英语班
20604091306	22级913英语班
20604091311	22级913英语班
20604091312	22级913英语班
20604091316	22级913英语班
20604091320	22级913英语班
20604091321	22级913英语班
20604091322	22级913英语班
20604091328	22级913英语班
20604091333	22级913英语班
20604091339	22级913英语班
20604091340	22级913英语班
20604091346	22级913英语班
20604091401	22级914英语班
20604091403	22级914英语班
20604091405	22级914英语班
20604091406	22级914英语班
20604091410	22级914英语班
20604091425	22级914英语班
20604091437	22级914英语班
20604091440	22级914英语班
20604091443	22级914英语班
20604091445	22级914英语班
20605091501	22级915科教班
20605091507	22级915科教班
20605091509	22级915科教班
20605091512	22级915科教班
20605091513	22级915科教班
20605091515	22级915科教班
20605091519	22级915科教班
20605091520	22级915科教班
20605091522	22级915科教班
20605091523	22级915科教班
20605091526	22级915科教班
20605091528	22级915科教班
20605091533	22级915科教班
20605091534	22级915科教班
20605091536	22级915科教班
20605091538	22级915科教班
20605091540	22级915科教班
20605091541	22级915科教班
20605091542	22级915科教班
20605091544	22级915科教班
20605091545	22级915科教班
20605091548	22级915科教班
20605091550	22级915科教班
20605091554	23级955科教班
20605091610	22级916科教班
20605091611	22级916科教班
20605091613	22级916科教班
20605091614	22级916科教班
20605091615	22级916科教班
20605091619	22级916科教班
20605091621	22级916科教班
20605091623	22级916科教班
20605091624	22级916科教班
20605091625	22级916科教班
20605091633	22级916科教班
20605091634	22级916科教班
20605091636	22级916科教班
20605091637	22级916科教班
20605091639	22级916科教班
20605091642	22级916科教班
20605091643	22级916科教班
20605091644	22级916科教班
20605091645	22级916科教班
20605091646	22级916科教班
20605091648	22级916科教班
20605091649	22级916科教班
20605091650	22级916科教班
20605091653	22级916科教班
20605091654	22级916科教班
20605091703	23级957科教班
20605091715	22级917科教班
20605091716	23级957科教班
20605091724	23级958科教班
20605091728	22级917科教班
20605091737	22级917科教班
20605091739	22级917科教班
20605091743	22级917科教班
20605091744	22级917科教班
20605091745	22级917科教班
20605091746	22级917科教班
20605091747	22级917科教班
20605091749	22级917科教班
20605091753	22级917科教班
20605091754	22级917科教班
20606091808	22级918教技班
20606091810	22级918教技班
20606091811	22级918教技班
20606091813	22级918教技班
20606091814	22级918教技班
20606091826	22级918教技班
20606091827	22级918教技班
20606091835	22级918教技班
20606091837	22级918教技班
20606091838	22级918教技班
20606091839	22级918教技班
20606091840	22级918教技班
20606091841	22级918教技班
20606091847	22级918教技班
20606091848	22级918教技班
20606091902	22级919教技班
20606091906	22级919教技班
20606091911	22级919教技班
20606091912	22级919教技班
20606091913	22级919教技班
